,school,test_optional,applies_to_class_year,policy_details,number_of_applicants,accept_rate,sat_total_middle50_percentile,act_total_middle50_percentile,city,state,zip,sat_total_25th_percentile,sat_total_75th_percentile,act_total_25th_percentile,act_total_75th_percentile,accept_rate_float,sat_school_avg,act_school_avg,should_scores_be_submitted
0,Stanford University,Yes,2021,Stanford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Stanford does not offer merit-based aid.,47452,4.3%,1440-1570,32-35,Stanford,CA,94305,1440.0,1570.0,32.0,35.0,0.043,1505.0,33.5,False
1,Princeton University,Yes,2021,Princeton has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.. Princeton does not offer merit-based aid.,35370,5.5%,1440-1570,32-35,Princeton,NJ,08544-0070,1440.0,1570.0,32.0,35.0,0.055,1505.0,33.5,False
2,Yale University,Yes,2021,Yale has adopted a one-year test optional policy for the 2020-21 admission cycle. Yale does not offer merit-based aid.,36844,6.1%,1460-1570,33-35,New Haven,CT,6520,1460.0,1570.0,33.0,35.0,0.061,1515.0,34.0,False
7,Pomona College,Yes,2021,Pomona College has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle. Pomona College does not offer merit-based aid.,10401,7.4%,1390-1540,32-35,Claremont,CA,91711-6319,1390.0,1540.0,32.0,35.0,0.07400000000000001,1465.0,33.5,False
8,University of Pennsylvania,Yes,2021,UPenn has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. UPenn does not offer merit-based aid.,44961,7.7%,1450-1560,33-35,Philadelphia,PA,19104-6303,1450.0,1560.0,33.0,35.0,0.077,1505.0,34.0,False
9,Dartmouth College,Yes,2021,Dartmouth has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Dartmouth does not offer merit-based aid.,23650,7.9%,1440-1560,32-35,Hanover,NH,03755-3529,1440.0,1560.0,32.0,35.0,0.079,1500.0,33.5,False
10,Bowdoin College,Yes,All / Permanent Policy,Bowdoin College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bowdoin does not offer merit-based aid.,9332,8.8%,1330-1520,31-34,Brunswick,ME,4011,1330.0,1520.0,31.0,34.0,0.08800000000000001,1425.0,32.5,False
11,Duke University,Yes,2021,Duke has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,35767,8.9%,1450-1570,33-35,Durham,NC,27708,1450.0,1570.0,33.0,35.0,0.08900000000000001,1510.0,34.0,False
12,Swarthmore College,Yes,2021 2022,Swarthmore has adopted a two-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Swarthmore will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,11442,8.9%,1380-1540,31-35,Swarthmore,PA,19081,1380.0,1540.0,31.0,35.0,0.08900000000000001,1460.0,33.0,False
13,Northwestern University,Yes,2021,Northwestern has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40585,9.1%,1440-1550,33-35,Evanston,IL,60208,1440.0,1550.0,33.0,35.0,0.091,1495.0,34.0,False
14,Vanderbilt University,Yes,2021,Vanderbilthas adopted a one-year test optional policy for all first-year and transfer applicants both domestic and international for Fall 2021 matriculation.,37310,9.1%,1460-1560,33-35,Nashville,TN,37240,1460.0,1560.0,33.0,35.0,0.091,1510.0,34.0,False
15,Claremont McKenna College,Yes,2021,Claremont McKenna College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle.,6066,10.3%,1360-1510,31-34,Claremont,CA,91711-6400,1360.0,1510.0,31.0,34.0,0.10300000000000001,1435.0,32.5,False
16,Johns Hopkins University,Yes,2021,Johns Hopkins has adopted a one-year test optional policy for the 2020-21 admission cycle.,29129,10.6%,1470-1560,33-35,Baltimore,MD,21218-2688,1470.0,1560.0,33.0,35.0,0.106,1515.0,34.0,False
17,Cornell University,Yes,2021,Cornell has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Cornell does not offer merit-based aid.,49114,10.9%,1400-1560,32-35,Ithaca,NY,14853,1400.0,1560.0,32.0,35.0,0.109,1480.0,33.5,False
18,Rice University,Yes,2021,Rice has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,20923,11.1%,1450-1560,33-35,Houston,TX,77005-1827,1450.0,1560.0,33.0,35.0,0.111,1505.0,34.0,False
19,Amherst College,Yes,2021,Amherst College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Amherst College does not offer merit-based aid.,10569,11.3%,1410-1550,31-34,Amherst,MA,01002-5000,1410.0,1550.0,31.0,34.0,0.113,1480.0,32.5,False
20,Barnard College,Yes,2021,Barnard College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Barnard College does not offer merit-based aid.,9320,11.8%,1340-1520,31-34,New York,NY,10027-6598,1340.0,1520.0,31.0,34.0,0.11800000000000001,1430.0,32.5,False
21,Bates College,Yes,All / Permanent Policy,Bates offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bates does not offer merit-based aid.,8222,12.1%,1270-1480,29-33,Lewiston,ME,4240,1270.0,1480.0,29.0,33.0,0.121,1375.0,31.0,False
22,University of Southern California,Yes,2021,USC has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,64352,13.0%,1350-1530,30-34,Los Angeles,CA,90089,1350.0,1530.0,30.0,34.0,0.13,1440.0,32.0,False
23,Williams College,Yes,2021,Williams College has adopted a one-year test optional policy for first-time international and transfer applicants in the 2020-21 admission cycle. Williams college does not offer merit-based aid.,9560,13.0%,1410-1550,32-35,Williamstown,MA,1267,1410.0,1550.0,32.0,35.0,0.13,1480.0,33.5,False
24,Colby College,Yes,All / Permanent Policy,Colby College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Colby does not offer merit-based aid.,12313,13.0%,1350-1510,31-33,Waterville,ME,04901-8840,1350.0,1510.0,31.0,33.0,0.13,1430.0,32.0,False
25,Pitzer College,Yes,All / Permanent Policy,Pitzer offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the joint medical program homeschooled students and students who attend secondary schools at which grades are not provided are not eligible for test optional admission.,4358,13.3%,1340-1490,30-33,Claremont,CA,91711-6101,1340.0,1490.0,30.0,33.0,0.133,1415.0,31.5,False
26,Colorado College,Yes,All / Permanent Policy,Colorado College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,9456,13.5%,1300-1480,29-33,Colorado Springs,CO,80903,1300.0,1480.0,29.0,33.0,0.135,1390.0,31.0,False
27,Harvey Mudd College,Yes,2021,Harvey Mudd has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,4045,13.7%,1490-1570,33-35,Claremont,CA,91711,1490.0,1570.0,33.0,35.0,0.13699999999999998,1530.0,34.0,False
28,Georgetown University,Yes,2021,Georgetown has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Georgetown does not offer merit-based aid.,22872,14.5%,1370-1530,31-34,Washington,DC,20057-0001,1370.0,1530.0,31.0,34.0,0.145,1450.0,32.5,False
29,Tufts University,Yes,2021 2022 2023,Tufts has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Tufts will reevaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Tufts does not offer merit-based aid.,22766,15.0%,1390-1540,32-34,Medford,MA,02155-5555,1390.0,1540.0,32.0,34.0,0.15,1465.0,33.0,False
30,Middlebury College,Yes,2021 2022 2023,Middlebury has adopted a three-year test optional policy for first-year and transfer students beginning with the 2020-21 admission cycle. After a three-year pilot period Middlebury will re-evaluate whether to continue the test optional policy indefinitely or return to its previous test flexible policy. Middlebury does not offer merit-based aid.,9754,15.4%,1360-1530,32-34,Middlebury,VT,5753,1360.0,1530.0,32.0,34.0,0.154,1445.0,33.0,False
31,Carnegie Mellon University,Yes,2021,Carnegie Mellon has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Carnegie Mellon does not offer merit-based aid.,27634,15.4%,1460-1560,33-35,Pittsburgh,PA,15213-3890,1460.0,1560.0,33.0,35.0,0.154,1510.0,34.0,False
32,University of Notre Dame,Yes,2021,Notre Dame has adopted a one-year test optional policy for all first year and transfer students applying in the 2020-21 admission cycle.,22200,15.8%,1400-1550,32-35,Notre Dame,IN,46556,1400.0,1550.0,32.0,35.0,0.158,1475.0,33.5,False
33,New York University,Yes,2021,NYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,79462,16.2%,1370-1510,30-34,New York,NY,10012-1091,1370.0,1510.0,30.0,34.0,0.162,1440.0,32.0,False
34,Haverford College,Yes,2021 2022 2023,Haverford has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Haverford will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Haverford does not offer merit-based aid.,4963,16.3%,1380-1540,32-34,Haverford,PA,19041-1392,1380.0,1540.0,32.0,34.0,0.163,1460.0,33.0,False
35,Wesleyan University,Yes,All / Permanent Policy,Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. International students will not be required to submit SAT or ACT scores for the 2020-21 admission cycle.,13264,16.5%,1320-1510,31-34,Middletown,CT,6459,1320.0,1510.0,31.0,34.0,0.165,1415.0,32.5,False
36,Hamilton College,Yes,2021,Hamilton College has adopted a one-year test optional policy for all first-year and transfer applicants in the 2020-21 admission cycle. Hamilton does not offer merit-based aid.,8279,16.5%,1370-1520,32-34,Clinton,NY,13323,1370.0,1520.0,32.0,34.0,0.165,1445.0,33.0,False
37,Northeastern University,Yes,2021,Northeastern University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,62263,18.1%,1390-1540,32-35,Boston,MA,02115-5005,1390.0,1540.0,32.0,35.0,0.18100000000000002,1465.0,33.5,False
38,Davidson College,Yes,2021 2022 2023,Davidson has adopted a three-year test optional policy for first-time students beginning with the 2020-21 admission cycle. However homeschooled students and students who attend non-traditional schools are not eligible for test optional admission. After a three-year pilot period Davidson will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5982,18.1%,1310-1485,30-33,Davidson,NC,28035,1310.0,1485.0,30.0,33.0,0.18100000000000002,1397.5,31.5,False
39,Emory University,Yes,2021,Emory has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,27559,18.5%,1350-1520,31-34,Atlanta,GA,30322,1350.0,1520.0,31.0,34.0,0.185,1435.0,32.5,False
40,Carleton College,Yes,2021,Carleton College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Carleton College does not offer merit-based aid.,7382,19.0%,1360-1540,31-34,Northfield,MN,55057,1360.0,1540.0,31.0,34.0,0.19,1450.0,32.5,False
41,Washington and Lee University,Yes,2021,Washington and Lee has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,5855,21.2%,1348-1490,31-34,Lexington,VA,24450-2116,1348.0,1490.0,31.0,34.0,0.212,1419.0,32.5,False
42,Wellesley College,Yes,2021,Wellesley College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Wellesley College does not offer merit-based aid.,6395,21.6%,1360-1530,31-34,Wellesley,MA,02481-8203,1360.0,1530.0,31.0,34.0,0.21600000000000003,1445.0,32.5,False
43,Boston University,Yes,2021,Boston University has adopted a one-year test optional policy for all first year applicants both domestic and international in the 2020-21 admission cycle.,64481,22.1%,1330-1500,30-33,Boston,MA,2215,1330.0,1500.0,30.0,33.0,0.221,1415.0,31.5,False
44,Colgate University,Yes,2021,Colgate University has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Colgate does not offer merit-based aid.,9951,22.6%,1330-1500,31-34,Hamilton,NY,13346-1398,1330.0,1500.0,31.0,34.0,0.226,1415.0,32.5,False
45,Vassar College,Yes,2021,Vassar College has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Vassar College does not offer merit-based aid.,8961,23.7%,1370-1530,31-34,Poughkeepsie,NY,12604,1370.0,1530.0,31.0,34.0,0.237,1450.0,32.5,False
46,Rhode Island School of Design,Yes,All / Permanent Policy,Rhode Island School of Design offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are still required to submit test scores.,3913,23.9%,1180-1440,26-32,Providence,RI,02903-2784,1180.0,1440.0,26.0,32.0,0.239,1310.0,29.0,False
47,Grinnell College,Yes,2021,Grinnell has adopted a one-year test optional policy for all first-year students applying in the 2020-21 admission cycle.,7349,24.4%,1370-1530,30-34,Grinnell,IA,50112-1690,1370.0,1530.0,30.0,34.0,0.244,1450.0,32.0,False
48,Babson College,Yes,2021,Babson has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6362,24.0%,1270-1450,28-32,Wellesley,MA,02457-0310,1270.0,1450.0,28.0,32.0,0.24,1360.0,30.0,False
49,University of Miami,Yes,2021,University of Miami has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,38919,27.1%,1280-1420,29-32,Coral Gables,FL,33146,1280.0,1420.0,29.0,32.0,0.271,1350.0,30.5,False
50,Boston College,Yes,2021,Boston College has adopted a one-year test optional policy for the 2020-21 admission cycle.,35552,27.2%,1370-1490,31-34,Chestnut Hill,MA,2467,1370.0,1490.0,31.0,34.0,0.272,1430.0,32.5,False
51,Villanova University,Yes,2021,Villanova has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,22909,28.2%,1320-1470,31-34,Villanova,PA,19085-1699,1320.0,1470.0,31.0,34.0,0.282,1395.0,32.5,False
52,University of Richmond,Yes,2021,University of Richmond has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,12356,28.3%,1290-1460,30-33,University of Richmond,VA,23173,1290.0,1460.0,30.0,33.0,0.28300000000000003,1375.0,31.5,False
53,Trinity University,Yes,2021 2022 2023,Trinity University has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Trinity will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,9864,28.8%,1290-1450,29-32,San Antonio,TX,78212-7200,1290.0,1450.0,29.0,32.0,0.28800000000000003,1370.0,30.5,False
54,Case Western Reserve University,Yes,2021,Case Western Reserve has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. Case Western Reserve will determine policies for future classes in winter 2020-21.,26642,29.3%,1350-1520,30-34,Cleveland,OH,44106,1350.0,1520.0,30.0,34.0,0.293,1435.0,32.0,False
55,University of Rochester,Yes,All / Permanent Policy,The University of Rochester offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,20216,29.5%,1300-1500,29-33,Rochester,NY,14627-0011,1300.0,1500.0,29.0,33.0,0.295,1400.0,31.0,False
56,Wake Forest University,Yes,All / Permanent Policy,Wake Forest offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12559,29.6%,1320-1490,30-33,Winston-Salem,NC,27106,1320.0,1490.0,30.0,33.0,0.29600000000000004,1405.0,31.5,False
57,Skidmore College,Yes,All / Permanent Policy,Skidmore College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,11102,30.0%,1220-1400,28-32,Saratoga Springs,NY,12866,1220.0,1400.0,28.0,32.0,0.3,1310.0,30.0,False
58,Franklin and Marshall College,Yes,All / Permanent Policy,Franklin and Marshall College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. Franklin and Marshall does not offer merit-based aid.,9502,30.4%,1250-1460,28-32,Lancaster,PA,17604-3003,1250.0,1460.0,28.0,32.0,0.304,1355.0,30.0,False
59,Brandeis University,Yes,All / Permanent Policy,Brandeis University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,11798,31.1%,1280-1500,29-33,Waltham,MA,02454-9110,1280.0,1500.0,29.0,33.0,0.311,1390.0,31.0,False
60,Lafayette College,Yes,2021,Lafayette College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,8521,31.5%,1250-1440,28-33,Easton,PA,18042-1768,1250.0,1440.0,28.0,33.0,0.315,1345.0,30.5,False
61,American University,Yes,All / Permanent Policy,American University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Homeschooled students are highly encouraged to submit 2 SAT Subject test scores.,18984,31.5%,1220-1380,27-31,Washington,DC,20016-8001,1220.0,1380.0,27.0,31.0,0.315,1300.0,29.0,False
62,Scripps College,Yes,All / Permanent Policy,Scripps offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3022,32.0%,1333-1490,30-33,Claremont,CA,91711-3905,1333.0,1490.0,30.0,33.0,0.32,1411.5,31.5,False
63,Lehigh University,Yes,2021,Lehigh has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15649,32.1%,1280-1450,29-33,Bethlehem,PA,18015,1280.0,1450.0,29.0,33.0,0.321,1365.0,31.0,False
64,Macalester College,Yes,All / Permanent Policy,Macalester College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Macalester recommends that homeschooled students and students who attend high schools that do not provide grades submit SAT or ACT scores.,6598,32.3%,1320-1510,29-33,Saint Paul,MN,55105-1899,1320.0,1510.0,29.0,33.0,0.32299999999999995,1415.0,31.0,False
65,Smith College,Yes,All / Permanent Policy,Smith College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,5597,32.5%,1340-1520,30-33,Northampton,MA,1063,1340.0,1520.0,30.0,33.0,0.325,1430.0,31.5,False
66,Bryn Mawr College,Yes,All / Permanent Policy,Bryn Mawr offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,3332,33.1%,1290-1510,29-33,Bryn Mawr,PA,19010,1290.0,1510.0,29.0,33.0,0.331,1400.0,31.0,False
67,Denison University,Yes,All / Permanent Policy,Denison offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,8042,33.9%,1210-1380,28-31,Granville,OH,43023,1210.0,1380.0,28.0,31.0,0.33899999999999997,1295.0,29.5,False
68,San Diego State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,69842,34.0%,1110-1320,22-29,San Diego,CA,92182-0001,1110.0,1320.0,22.0,29.0,0.34,1215.0,25.5,False
69,Kenyon College,Yes,2021,Kenyon has adopted a one-year test optional policy for applicants both domestic and international in the 2020-21 admission cycle.,6662,34.1%,1270-1460,29-33,Gambier,OH,43022,1270.0,1460.0,29.0,33.0,0.341,1365.0,31.0,False
70,College of the Holy Cross,Yes,All / Permanent Policy,The College of the Holy Cross offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7200,34.2%,1260-1430,28-32,Worcester,MA,01610-2395,1260.0,1430.0,28.0,32.0,0.342,1345.0,30.0,False
71,Bucknell University,Yes,2021 2022 2023 2024 2025,Bucknell University adopted a five-year test optional policy for first-year students beginning with the 2020-21 admission cycle. However homeschooled students and international students are not eligible for test optional admission. Bucknell will use the five-year pilot period to assess the patterns of success for test score submitters and non-submitters.,9845,34.2%,1255-1430,28-32,Lewisburg,PA,17837,1255.0,1430.0,28.0,32.0,0.342,1342.5,30.0,False
72,Emerson College,Yes,All / Permanent Policy,Emerson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,12941,35.6%,1200-1390,27-31,Boston,MA,02116-4624,1200.0,1390.0,27.0,31.0,0.35600000000000004,1295.0,29.0,False
73,Pepperdine University,Yes,2021,Pepperdine University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,11265,35.7%,1220-1420,26-32,Malibu,CA,90263,1220.0,1420.0,26.0,32.0,0.35700000000000004,1320.0,29.0,False
74,Hampton University,Yes*,All / Permanent Policy,Hampton University requires either the SAT or ACT however they will waive this requirement for students with a 3.3+ GPA or who rank in the top 10% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,13028,36.0%,1040-1310,19-24,Hampton,VA,23668-0099,1040.0,1310.0,19.0,24.0,0.36,1175.0,21.5,False
75,Oberlin College,Yes,2021 2022 2023,Oberlin College has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Oberlin will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,7708,36.4%,1280-1480,29-33,Oberlin,OH,44074,1280.0,1480.0,29.0,33.0,0.364,1380.0,31.0,False
76,Occidental College,Yes,2021,Occidental has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,7501,36.7%,1300-1480,28-32,Los Angeles,CA,90041-3392,1300.0,1480.0,28.0,32.0,0.36700000000000005,1390.0,30.0,False
77,Connecticut College,Yes,All / Permanent Policy,Connecticut College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,6784,37.4%,1310-1450,30-33,New London,CT,06320-4196,1310.0,1450.0,30.0,33.0,0.374,1380.0,31.5,False
78,Mount Holyoke College,Yes,All / Permanent Policy,Mount Holyoke College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3908,38.2%,1270-1490,27-32,South Hadley,MA,01075-1489,1270.0,1490.0,27.0,32.0,0.382,1380.0,29.5,False
79,Berea College,Yes,2021,Berea College has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,1576,38.2%,1030-1213,22-27,Berea,KY,40404-2182,1030.0,1213.0,22.0,27.0,0.382,1121.5,24.5,False
80,Soka University of America,Yes,2021,Soka University has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,464,38.8%,1180-1410,27-30,Aliso Viejo,CA,92656-8081,1180.0,1410.0,27.0,30.0,0.38799999999999996,1295.0,28.5,False
81,Reed College,Yes (TB),2021 2022,Reed has adopted a two-year test blind admission policy which means students' SAT and ACT scores will not be considered as part of their application review.,5815,39.5%,1325-1520,30-34,Portland,OR,97202-8199,1325.0,1520.0,30.0,34.0,0.395,1422.5,32.0,False
82,Dickinson College,Yes,All / Permanent Policy,Dickinson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6426,40.1%,1240-1410,28-32,Carlisle,PA,17013-2896,1240.0,1410.0,28.0,32.0,0.401,1325.0,30.0,False
83,University of Tulsa,Yes,2021,University of Tulsa has adopted a one-year test optional policy for first-year applicants entering in the Spring and Fall of 2021.,8526,40.8%,1180-1410,25-32,Tulsa,OK,74104-3189,1180.0,1410.0,25.0,32.0,0.408,1295.0,28.5,False
84,George Washington University,Yes,All / Permanent Policy,George Washington University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants applying to the accelerated Seven-Year B.A./M.D. Program students who attend secondary schools that do not provide letter grades homeschooled students and recruited NCAA Division 1 athletes are not eligible for test optional admission.,26968,40.9%,1280-1470,29-33,Washington,DC,20052,1280.0,1470.0,29.0,33.0,0.409,1375.0,31.0,False
85,Stevens Institute of Technology,Yes,2021,Stevens Institute of Technology has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying to the Pre-Med and Pre-Law programs are not eligible for test optional admissions.,9265,41.4%,1330-1480,30-33,Hoboken,NJ,07030-5991,1330.0,1480.0,30.0,33.0,0.414,1405.0,31.5,False
86,Rensselaer Polytechnic Institute,Yes,2021,Rensselaer has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,20402,43.0%,1330-1500,29-33,Troy,NY,12180-3590,1330.0,1500.0,29.0,33.0,0.43,1415.0,31.0,False
87,Bentley University,Yes,2021,Bentley University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9252,43.2%,1240-1410,28-32,Waltham,MA,02452-4705,1240.0,1410.0,28.0,32.0,0.43200000000000005,1325.0,30.0,False
88,Spelman College,Yes,2021,Spelman has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,9106,43.4%,1080-1230,22-26,Atlanta,GA,30314-4399,1080.0,1230.0,22.0,26.0,0.434,1155.0,24.0,False
89,Loyola Marymount University,Yes,2021,Loyola Marymount University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,18592,43.8%,1230-1410,27-31,Los Angeles,CA,90045-2659,1230.0,1410.0,27.0,31.0,0.43799999999999994,1320.0,29.0,False
